station_id,datetime_utc,o3_value,units
5610,2022-07-08T06:30:00Z,0.0128,ppm
5610,2022-07-08T07:30:00Z,0.0125,ppm
5610,2022-07-08T08:30:00Z,0.013,ppm
5610,2022-07-08T09:30:00Z,0.0133,ppm
5610,2022-07-09T02:30:00Z,0.0133,ppm
5610,2022-07-09T04:30:00Z,0.0133,ppm
5610,2022-07-09T05:30:00Z,0.0131,ppm
5610,2022-07-09T06:30:00Z,0.013,ppm
5610,2022-07-09T07:30:00Z,0.0124,ppm
5610,2022-07-09T08:30:00Z,0.0126,ppm
5610,2022-07-09T09:30:00Z,0.0134,ppm
5610,2022-07-09T10:30:00Z,0.0135,ppm
5610,2022-07-09T11:30:00Z,0.0132,ppm
5610,2022-07-09T12:30:00Z,0.0135,ppm
5610,2022-07-09T13:30:00Z,0.0143,ppm
5610,2022-07-09T14:30:00Z,0.0137,ppm
5610,2022-07-09T15:30:00Z,0.0159,ppm
5610,2022-07-09T16:30:00Z,0.0118,ppm
5610,2022-07-09T17:30:00Z,0.0121,ppm
5610,2022-07-09T18:30:00Z,0.0108,ppm
5610,2022-07-09T19:30:00Z,0.0134,ppm
5610,2022-07-09T20:30:00Z,0.0112,ppm
5610,2022-07-09T21:30:00Z,0.0,ppm
5610,2022-07-09T22:30:00Z,0.0143,ppm
5610,2022-07-09T23:30:00Z,0.0123,ppm
5610,2022-07-10T00:30:00Z,0.0139,ppm
5610,2022-07-10T01:30:00Z,0.0139,ppm
5610,2022-07-10T02:30:00Z,0.0134,ppm
5610,2022-07-10T03:30:00Z,0.0134,ppm
5610,2022-07-10T04:30:00Z,0.0134,ppm
5610,2022-07-10T05:30:00Z,0.0121,ppm
5610,2022-07-10T06:30:00Z,0.0101,ppm
5610,2022-07-10T07:30:00Z,0.0128,ppm
5610,2022-07-10T08:30:00Z,0.0126,ppm
5610,2022-07-10T09:30:00Z,0.0131,ppm
5610,2022-07-10T10:30:00Z,0.0133,ppm
5610,2022-07-10T11:30:00Z,0.0136,ppm
5610,2022-07-10T12:30:00Z,0.014,ppm
5610,2022-07-10T13:30:00Z,0.013,ppm
5610,2022-07-10T14:30:00Z,0.013,ppm
5610,2022-07-10T15:30:00Z,0.0115,ppm
5610,2022-07-10T16:30:00Z,0.0116,ppm
5610,2022-07-10T17:30:00Z,0.011,ppm
5610,2022-07-10T18:30:00Z,0.00475,ppm
5610,2022-07-10T19:30:00Z,0.00477,ppm
5610,2022-07-10T20:30:00Z,0.00956,ppm
5610,2022-07-10T21:30:00Z,0.00829,ppm
5610,2022-07-10T22:30:00Z,0.014,ppm
5610,2022-07-10T23:30:00Z,0.0184,ppm
5610,2022-07-11T00:30:00Z,0.0175,ppm
5610,2022-07-11T01:30:00Z,0.0136,ppm
5610,2022-07-11T02:30:00Z,0.0135,ppm
5610,2022-07-11T03:30:00Z,0.0137,ppm
5610,2022-07-11T04:30:00Z,0.0138,ppm
5610,2022-07-11T05:30:00Z,0.014,ppm
5610,2022-07-11T06:30:00Z,0.00771,ppm
5610,2022-07-11T07:30:00Z,0.0141,ppm
5610,2022-07-11T08:30:00Z,0.0133,ppm
5610,2022-07-11T09:30:00Z,0.0133,ppm
5610,2022-07-11T10:30:00Z,0.014,ppm
5610,2022-07-11T11:30:00Z,0.0133,ppm
5610,2022-07-11T12:30:00Z,0.013,ppm
5610,2022-07-11T13:30:00Z,0.00745,ppm
